,customerid,churn_probability,Classification
114,5256-SKJGO,0.0,Non-risky
115,3071-VBYPO,0.89,High-risky
116,9560-BBZXK,0.01,Non-risky
117,5299-RULOA,0.98,High-risky
118,8402-OOOHJ,0.0,Non-risky
119,9445-ZUEQE,0.63,Risky
120,1091-SOZGA,0.19,Non-risky
121,2928-HLDBA,0.0,Non-risky
122,0404-SWRVG,1.0,High-risky
123,6497-TILVL,0.25,Non-risky
124,7219-TLZHO,0.08,Non-risky
125,4622-YNKIJ,0.22,Non-risky
126,4412-YLTKF,0.95,High-risky
127,6734-PSBAW,0.0,Non-risky
128,3930-ZGWVE,1.0,High-risky
129,2639-UGMAZ,0.22,Non-risky
130,2876-GZYZC,1.0,High-risky
131,6207-WIOLX,0.58,Risky
132,8587-XYZSF,0.02,Non-risky
133,3091-FYHKI,1.0,High-risky
134,2372-HWUHI,0.92,High-risky
135,7799-LGRDP,0.11,Non-risky
136,7850-VWJUU,0.97,High-risky
137,3774-VBNXY,0.0,Non-risky
138,6217-KDYWC,0.0,Non-risky
139,0390-DCFDQ,1.0,High-risky
140,3146-MSEGF,0.0,Non-risky
141,4080-OGPJL,0.76,Risky
142,1095-WGNGG,0.16,Non-risky
143,2636-SJDOU,0.03,Non-risky
144,1131-QQZEB,0.0,Non-risky
145,5716-EZXZN,0.0,Non-risky
146,6837-BJYDQ,0.0,Non-risky
147,2135-RXIHG,1.0,High-risky
148,6440-DKQGE,0.11,Non-risky
149,3466-BYAVD,0.23,Non-risky
150,3780-YVMFA,0.94,High-risky
151,3874-EQOEP,1.0,High-risky
152,1679-JRFBR,0.04,Non-risky
153,9073-ZZIAY,0.0,Non-risky
154,3077-RSNTJ,0.07,Non-risky
155,6551-GNYDG,1.0,High-risky
156,9167-APMXZ,0.91,High-risky
157,2749-CTKAJ,0.0,Non-risky
158,6371-NZYEG,0.06,Non-risky
159,7554-NEWDD,0.05,Non-risky
160,8992-VONJD,0.63,Risky
161,0867-MKZVY,0.99,High-risky
162,4482-EWFMI,1.0,High-risky
163,4648-YPBTM,0.02,Non-risky
164,2907-ILJBN,0.0,Non-risky
165,6345-FZOQH,0.0,Non-risky
166,3376-BMGFE,1.0,High-risky
167,5997-OPVFA,0.0,Non-risky
168,3445-HXXGF,0.35,Non-risky
169,1159-WFSGR,0.04,Non-risky
170,7654-YWJUF,0.11,Non-risky
171,1875-QIVME,0.97,High-risky
172,6727-IOTLZ,0.3,Non-risky
173,0691-JVSYA,0.26,Non-risky
174,5918-VUKWP,0.0,Non-risky
175,1744-JHKYS,0.06,Non-risky
176,2656-FMOKZ,0.99,High-risky
177,2070-FNEXE,0.91,High-risky
178,5947-SGKCL,0.97,High-risky
179,3712-PKXZA,0.0,Non-risky
180,6317-YPKDH,0.89,High-risky
181,6582-OIVSP,0.31,Non-risky
182,9367-WXLCH,1.0,High-risky
183,5524-KHNJP,0.08,Non-risky
184,1918-ZBFQJ,1.0,High-risky
185,1024-GUALD,1.0,High-risky
186,4827-USJHP,0.25,Non-risky
187,8167-GJLRN,0.22,Non-risky
188,0956-SYCWG,0.01,Non-risky
189,8017-UVSZU,0.13,Non-risky
190,7100-FQPRV,0.07,Non-risky
191,2472-OVKUP,0.99,High-risky
192,2984-RGEYA,0.0,Non-risky
193,9680-NIAUV,0.0,Non-risky
194,2146-EGVDT,0.0,Non-risky
195,2604-IJPDU,0.15,Non-risky
196,9178-JHUVJ,0.0,Non-risky
197,6168-YBYNP,0.92,High-risky
198,7255-SSFBC,0.11,Non-risky
199,3645-DEYGF,0.56,Risky
200,9323-HGFWY,0.61,Risky
201,8544-GOQSH,0.98,High-risky
202,3363-DTIVD,0.04,Non-risky
203,7018-WBJNK,1.0,High-risky
204,9142-KZXOP,0.62,Risky
205,7674-YTAFD,0.38,Non-risky
206,6348-SNFUS,0.0,Non-risky
207,1285-OKIPP,1.0,High-risky
208,7825-ECJRF,0.83,High-risky
209,1347-KTTTA,0.39,Non-risky
210,7841-TZDMQ,0.96,High-risky
211,4195-NZGTA,0.95,High-risky
212,7157-SMCFK,0.0,Non-risky
213,4709-LKHYG,0.0,Non-risky
214,2504-DSHIH,0.94,High-risky
215,0699-NDKJM,0.41,Non-risky
216,9286-BHDQG,0.0,Non-risky
217,0230-WEQUW,0.0,Non-risky
218,2040-LDIWQ,0.0,Non-risky
219,6496-JDSSB,1.0,High-risky
220,9408-SSNVZ,1.0,High-risky
221,4443-EMBNA,0.0,Non-risky
222,6469-MRVET,0.08,Non-risky
223,0742-MOABM,0.83,High-risky
224,5961-VUSRV,0.08,Non-risky
225,6778-JFCMK,0.04,Non-risky
226,6341-JVQGF,0.16,Non-risky
227,2232-DMLXU,0.95,High-risky
228,4811-JBUVU,0.84,High-risky
229,0945-TSONX,0.01,Non-risky
230,2651-ZCBXV,0.59,Risky
231,3316-UWXUY,0.27,Non-risky
232,8937-RDTHP,0.86,High-risky
233,7083-MIOPC,0.0,Non-risky
234,1984-GPTEH,0.07,Non-risky
235,1251-KRREG,0.9,High-risky
236,0621-JFHOL,0.38,Non-risky
237,9903-LYSAB,0.94,High-risky
238,0094-OIFMO,1.0,High-risky
239,9227-UAQFT,0.0,Non-risky
240,7301-ABVAD,0.03,Non-risky
241,6614-FHDBO,0.31,Non-risky
242,7576-ASEJU,0.1,Non-risky
243,9058-HRZSV,0.28,Non-risky
244,4522-AKYLR,0.55,Risky
245,0221-WMXNQ,0.99,High-risky
246,0303-UNCIP,0.08,Non-risky
247,9947-OTFQU,1.0,High-risky
248,0322-YINQP,0.9,High-risky
249,0959-WHOKV,0.08,Non-risky
250,4075-JFPGR,0.26,Non-risky
251,4629-NRXKX,0.99,High-risky
252,9514-JDSKI,1.0,High-risky
253,3282-ZISZV,0.1,Non-risky
254,3675-YDUPJ,0.0,Non-risky
255,4111-BNXIF,0.0,Non-risky
256,7017-VFHAY,0.0,Non-risky
257,6655-LHBYW,0.6,Risky
258,4959-JOSRX,0.93,High-risky
259,5046-NUHWD,0.54,Risky
260,7273-TEFQD,1.0,High-risky
261,3606-TWKGI,0.97,High-risky
262,7529-ZDFXI,0.63,Risky
263,7605-BDWDC,0.04,Non-risky
264,1950-KSVVJ,0.43,Non-risky
265,0123-CRBRT,0.0,Non-risky
266,6292-TOSSS,0.0,Non-risky
267,3197-ARFOY,0.69,Risky
268,6323-AYBRX,0.0,Non-risky
269,7014-ZZXAW,0.0,Non-risky
270,4385-GZQXV,0.94,High-risky
271,7633-MVPUY,0.02,Non-risky
272,6366-ZGQGL,0.85,High-risky
273,4716-HHKQH,0.16,Non-risky
274,5940-AHUHD,1.0,High-risky
275,6432-TWQLB,1.0,High-risky
276,4484-GLZOU,0.96,High-risky
277,3179-GBRWV,0.15,Non-risky
278,8645-KWHJO,0.86,High-risky
279,4130-MZLCC,0.87,High-risky
280,0314-TKOSI,0.71,Risky
281,8229-MYEJZ,0.16,Non-risky
282,2080-SRCDE,0.12,Non-risky
283,9577-WJVCQ,0.19,Non-risky
284,9512-UIBFX,0.94,High-risky
285,6202-DYYFX,0.51,Risky
286,3808-HFKDE,0.26,Non-risky
287,5583-SXDAG,0.99,High-risky
288,3488-PGMQJ,1.0,High-risky
289,3580-REOAC,0.84,High-risky
290,7534-BFESC,0.97,High-risky
291,3727-OWVYD,0.09,Non-risky
292,2294-SALNE,0.4,Non-risky
293,4847-TAJYI,1.0,High-risky
294,1563-IWQEX,0.0,Non-risky
295,8203-XJZRC,0.95,High-risky
296,6556-DBKZF,0.22,Non-risky
297,6851-WEFYX,0.96,High-risky
298,2985-JUUBZ,0.57,Risky
299,6390-DSAZX,0.97,High-risky
300,0895-LMRSF,0.18,Non-risky
301,8098-LLAZX,1.0,High-risky
302,8266-VBFQL,0.99,High-risky
303,8181-YHCMF,0.0,Non-risky
304,2240-HSJQD,0.22,Non-risky
305,1248-DYXUB,0.0,Non-risky
306,0265-EDXBD,0.98,High-risky
307,4115-BNPJY,0.17,Non-risky
308,3167-SNQPL,0.86,High-risky
309,4091-TVOCN,0.05,Non-risky
310,1098-TDVUQ,0.36,Non-risky
311,7277-OZCGZ,0.13,Non-risky
312,1557-EMYVT,0.16,Non-risky
313,2799-ARNLO,1.0,High-risky
314,7563-BIUPC,1.0,High-risky
315,5027-YOCXN,0.43,Non-risky
316,3973-SKMLN,0.0,Non-risky
317,2321-OMBXY,0.09,Non-risky
318,2840-XANRC,0.95,High-risky
319,6745-JEFZB,0.76,Risky
320,5020-ZSTTY,0.19,Non-risky
321,9880-TDQAC,0.0,Non-risky
322,8705-WZCYL,0.99,High-risky
323,7102-JJVTX,0.02,Non-risky
324,8626-PTQGE,0.04,Non-risky
325,4983-CLMLV,0.24,Non-risky
326,5701-YVSVF,0.98,High-risky
327,5804-LEPIM,1.0,High-risky
328,5697-GOMBF,0.51,Risky
329,2739-CACDQ,0.88,High-risky
330,9385-EHGDO,0.0,Non-risky
331,9498-FIMXL,0.01,Non-risky
332,2379-GYFLQ,0.07,Non-risky
333,0122-OAHPZ,1.0,High-risky
334,2868-SNELZ,1.0,High-risky
335,4322-RCYMT,0.0,Non-risky
336,6680-NENYN,0.54,Risky
337,2088-IEBAU,0.07,Non-risky
338,7982-VCELR,0.91,High-risky
339,1343-EHPYB,0.94,High-risky
340,6035-BXTTY,0.15,Non-risky
341,6885-PKOAM,0.0,Non-risky
342,7520-HQWJU,0.08,Non-risky
343,9639-BUJXT,0.0,Non-risky
344,5924-SNGKP,0.0,Non-risky
345,0021-IKXGC,1.0,High-risky
346,2034-GDRCN,1.0,High-risky
347,8966-SNIZF,0.0,Non-risky
348,6243-OZGFH,0.63,Risky
349,4654-DLAMQ,0.05,Non-risky
350,0513-RBGPE,0.02,Non-risky
351,5160-UXJED,0.08,Non-risky
352,4115-NZRKS,0.99,High-risky
353,0219-YTZUE,0.99,High-risky
354,0623-IIHUG,0.91,High-risky
355,4572-DVCGN,1.0,High-risky
356,3351-NGXYI,0.83,High-risky
357,8984-EYLLL,0.15,Non-risky
358,9057-MSWCO,0.74,Risky
359,9833-TGFHX,0.31,Non-risky
360,9294-TDIPC,0.01,Non-risky
361,5229-DTFYB,0.19,Non-risky
362,0104-PPXDV,0.05,Non-risky
363,5176-LMJXE,0.0,Non-risky
364,3583-KRKMD,0.76,Risky
365,1010-DIAUQ,1.0,High-risky
366,9069-LGEUL,0.42,Non-risky
367,7302-ZHMHP,0.12,Non-risky
368,9571-EDEBV,0.22,Non-risky
369,3520-FJGCV,0.0,Non-risky
370,6563-VRERX,0.0,Non-risky
371,0259-GBZSH,1.0,High-risky
372,6122-EFVKN,0.0,Non-risky
373,2805-EDJPQ,0.12,Non-risky
374,6862-CQUMB,0.86,High-risky
375,7156-MXBJE,0.09,Non-risky
376,6158-HDPXZ,0.32,Non-risky
377,9601-BRXPO,0.95,High-risky
378,2863-IMQDR,0.01,Non-risky
379,5686-CMAWK,0.15,Non-risky
380,5651-CRHKQ,0.29,Non-risky
381,6905-NIQIN,0.9,High-risky
382,8204-YJCLA,0.0,Non-risky
383,5167-ZFFMM,1.0,High-risky
384,6583-SZVGP,0.57,Risky
385,4895-TMWIR,0.15,Non-risky
386,0533-BNWKF,0.92,High-risky
387,1708-PBBOA,0.14,Non-risky
388,8782-LKFPK,0.63,Risky
389,5522-JBWMO,0.83,High-risky
390,3597-MVHJT,0.94,High-risky
391,9774-NRNAU,0.51,Risky
392,0224-RLWWD,0.93,High-risky
393,9967-ATRFS,0.0,Non-risky
394,3951-NJCVI,0.93,High-risky
395,2977-CEBSX,0.02,Non-risky
396,0177-PXBAT,0.69,Risky
397,6599-CEBNN,0.99,High-risky
398,2519-ERQOJ,0.19,Non-risky
399,5876-QMYLD,0.0,Non-risky
400,2277-AXSDC,0.0,Non-risky
401,9442-JTWDL,0.01,Non-risky
402,0979-PHULV,0.73,Risky
403,3067-SVMTC,0.0,Non-risky
404,5495-GPSRW,0.0,Non-risky
405,7606-BPHHN,0.0,Non-risky
406,4742-DRORA,0.08,Non-risky
407,0111-KLBQG,0.66,Risky
408,4800-VHZKI,0.85,High-risky
409,7989-CHGTL,0.84,High-risky
410,0334-GDDSO,1.0,High-risky
411,4163-NCJAK,0.0,Non-risky
412,5233-AOZUF,0.89,High-risky
413,5973-EJGDP,0.51,Risky
414,1996-DBMUS,0.76,Risky
415,7916-VCCPB,0.98,High-risky
416,4686-GEFRM,0.04,Non-risky
417,5249-QYHEX,0.0,Non-risky
418,0578-SKVMF,0.99,High-risky
419,5564-NEMQO,1.0,High-risky
420,2233-FAGXV,0.04,Non-risky
421,5605-IYGFG,1.0,High-risky
422,7663-ZTEGJ,0.22,Non-risky
423,3935-TBRZZ,0.02,Non-risky
424,8111-BKVDS,0.67,Risky
425,2055-SIFSS,0.16,Non-risky
426,2806-MLNTI,0.8,High-risky
427,8734-DKSTZ,1.0,High-risky
428,4360-PNRQB,0.88,High-risky
429,6152-ONASV,0.0,Non-risky
430,9063-ZGTUY,0.11,Non-risky
431,7781-HVGMK,0.0,Non-risky
432,2181-UAESM,0.7,Risky
433,2957-LOLHO,0.77,Risky
434,6048-NJXHX,0.0,Non-risky
435,2320-SLKMB,0.12,Non-risky
436,4980-URKXC,0.0,Non-risky
437,4376-KFVRS,0.0,Non-risky
438,5886-VLQVU,0.66,Risky
439,3577-AMVUX,0.29,Non-risky
440,0771-WLCLA,0.74,Risky
441,5628-RKIFK,0.89,High-risky
442,0206-TBWLC,0.36,Non-risky
443,2937-FTHUR,0.31,Non-risky
444,1910-FMXJM,0.85,High-risky
445,7752-XUSCI,0.78,Risky
446,4110-PFEUZ,1.0,High-risky
447,0732-OCQOC,0.01,Non-risky
448,5168-MSWXT,0.98,High-risky
449,1090-ESELR,0.02,Non-risky
450,8592-PLTMQ,0.0,Non-risky
451,5760-WRAHC,0.25,Non-risky
452,8847-GEOOQ,0.18,Non-risky
453,0256-LTHVJ,0.77,Risky
454,4785-FCIFB,0.0,Non-risky
455,8313-NDOIA,0.93,High-risky
456,5149-CUZUJ,0.26,Non-risky
457,0942-KOWSM,0.13,Non-risky
458,4237-CLSMM,0.01,Non-risky
459,1452-VOQCH,1.0,High-risky
460,4719-UMSIY,0.04,Non-risky
461,6614-VBEGU,0.72,Risky
462,0880-TKATG,1.0,High-risky
463,3811-VBYBZ,1.0,High-risky
464,1480-BKXGA,0.04,Non-risky
465,2996-XAUVF,0.09,Non-risky
466,9076-AXYIK,0.11,Non-risky
467,5968-XQIVE,0.26,Non-risky
468,8896-RAZCR,0.0,Non-risky
469,4640-UHDOS,0.93,High-risky
470,4933-IKULF,0.03,Non-risky
471,3583-EKAPL,1.0,High-risky
472,1304-BCCFO,0.79,Risky
473,4104-PVRPS,0.08,Non-risky
474,9399-APLBT,1.0,High-risky
475,2359-KMGLI,0.98,High-risky
476,3780-DDGSE,0.15,Non-risky
477,4431-EDMIQ,0.64,Risky
478,0306-JAELE,1.0,High-risky
479,6227-HWPWX,1.0,High-risky
480,0486-LGCCH,0.0,Non-risky
481,0447-BEMNG,0.45,Non-risky
482,4612-SSVHJ,0.23,Non-risky
483,5168-MQQCA,0.22,Non-risky
484,5949-XIKAE,1.0,High-risky
485,7971-HLVXI,0.12,Non-risky
486,9094-AZPHK,1.0,High-risky
487,3649-JPUGY,0.02,Non-risky
488,4472-LVYGI,0.1,Non-risky
489,8372-JUXUI,1.0,High-risky
490,3552-CTCYF,0.31,Non-risky
491,6778-YSNIH,0.86,High-risky
492,0388-EOPEX,0.98,High-risky
493,5756-OZRIO,0.05,Non-risky
494,6579-JPICP,0.32,Non-risky
495,8205-OTCHB,0.22,Non-risky
496,4134-BSXLX,0.09,Non-risky
497,0505-SPOOW,0.0,Non-risky
498,6235-VDHOM,0.98,High-risky
499,7783-YKGDV,0.96,High-risky
500,4374-YMUSQ,0.13,Non-risky
501,4513-CXYIX,0.0,Non-risky
502,3957-HHLMR,0.0,Non-risky
503,7803-XOCCZ,0.16,Non-risky
504,5736-YEJAX,0.01,Non-risky
505,5609-CEBID,0.95,High-risky
506,8981-FJGLA,0.93,High-risky
507,7218-HKQFK,1.0,High-risky
508,4636-QRJKY,1.0,High-risky
509,1135-LMECX,0.63,Risky
510,4332-MUOEZ,0.03,Non-risky
511,8535-SFUTN,0.15,Non-risky
512,5956-VKDTT,1.0,High-risky
513,8677-HDZEE,0.27,Non-risky
514,2475-MROZF,0.36,Non-risky
515,9412-GHEEC,0.96,High-risky
516,3482-ABPKK,0.0,Non-risky
517,6705-LXORM,0.99,High-risky
518,0257-ZESQC,0.89,High-risky
519,7531-GQHME,0.11,Non-risky
520,5174-ITUMV,0.53,Risky
521,4109-CYRBD,0.44,Non-risky
522,0913-XWSCN,0.39,Non-risky
523,6825-UYPFK,0.98,High-risky
524,8397-MVTAZ,1.0,High-risky
525,0750-EBAIU,0.29,Non-risky
526,8606-CIQUL,0.0,Non-risky
527,3571-DPYUH,0.09,Non-risky
528,7601-GNDYK,0.0,Non-risky
529,0356-OBMAC,0.04,Non-risky
530,8067-NIOYM,0.0,Non-risky
531,1403-GYAFU,0.0,Non-risky
532,4234-XTNEA,1.0,High-risky
533,1297-VQDRP,0.18,Non-risky
534,9282-IZGQK,1.0,High-risky
535,5348-CAGXB,1.0,High-risky
536,0621-HJWXJ,0.39,Non-risky
537,5844-QVTAT,0.07,Non-risky
538,8905-IAZPF,0.37,Non-risky
539,5394-MEITZ,0.01,Non-risky
540,6859-QNXIQ,0.0,Non-risky
541,2782-LFZVW,0.78,Risky
542,2866-IKBTM,0.35,Non-risky
543,1342-JPNKI,1.0,High-risky
544,2817-NTQDO,0.98,High-risky
545,7129-AZJDE,0.46,Non-risky
546,6986-IJDHX,0.51,Risky
547,2560-PPCHE,0.71,Risky
548,4676-MQUEA,0.4,Non-risky
549,8138-EALND,0.01,Non-risky
550,3580-HYCSP,0.0,Non-risky
551,1352-HNSAW,0.0,Non-risky
552,2075-PUEPR,0.0,Non-risky
553,1982-FEBTD,0.0,Non-risky
554,5301-GAUUY,0.82,High-risky
555,5791-KAJFD,0.01,Non-risky
556,2654-VBVPB,0.27,Non-risky
557,1154-HYWWO,0.11,Non-risky
558,2501-XWWTZ,0.99,High-risky
559,3716-UVSPD,0.63,Risky
560,6815-ABQFQ,0.53,Risky
561,7343-EOBEU,0.03,Non-risky
562,3701-SFMUH,0.67,Risky
563,6103-LIANB,0.27,Non-risky
564,7319-VENRZ,0.25,Non-risky
565,5846-NEQVZ,0.0,Non-risky
566,6967-QIQRV,0.34,Non-risky
567,5781-RFZRP,0.0,Non-risky
568,0939-YAPAF,1.0,High-risky
569,0308-IVGOK,0.3,Non-risky
570,7293-LSCDV,0.0,Non-risky
571,7025-WCBNE,0.04,Non-risky
572,5756-JYOJT,0.37,Non-risky
573,4710-FDUIZ,0.75,Risky
574,6030-REHUX,0.61,Risky
575,9548-LIGTA,0.02,Non-risky
576,5150-LJNSR,0.25,Non-risky
577,8270-RKSAP,0.99,High-risky
578,6522-YRBXD,0.77,Risky
579,2640-LYMOV,0.06,Non-risky
580,1218-VKFPE,0.02,Non-risky
581,3627-FHKBK,0.96,High-risky
582,2865-TCHJW,1.0,High-risky
583,1423-BMPBQ,0.4,Non-risky
584,2393-DIVAI,0.0,Non-risky
585,5192-EBGOV,1.0,High-risky
586,4568-KNYWR,0.03,Non-risky
587,8752-IMQOS,0.0,Non-risky
588,0742-LAFQK,0.01,Non-risky
589,0795-LAFGP,0.0,Non-risky
590,0619-OLYUR,0.08,Non-risky
591,5512-IDZEI,0.0,Non-risky
592,0459-SPZHJ,0.0,Non-risky
593,0215-BQKGS,0.82,High-risky
594,9244-ZVAPM,0.81,High-risky
595,0719-SYFRB,0.81,High-risky
596,8208-EUMTE,0.09,Non-risky
597,5172-MIGPM,0.83,High-risky
598,1710-RCXUS,0.33,Non-risky
599,0374-FIUCA,0.0,Non-risky
600,5839-SUYVZ,0.91,High-risky
601,5173-ZXXXL,0.0,Non-risky
602,1096-ADRUX,0.09,Non-risky
603,2001-MCUUW,0.33,Non-risky
604,2731-GJRDG,0.64,Risky
605,4723-BEGSG,0.0,Non-risky
606,6516-NKQBO,0.09,Non-risky
607,8672-OAUPW,0.2,Non-risky
608,8207-DMRVL,0.0,Non-risky
609,3419-SNJJD,0.74,Risky
610,6543-CPZMK,0.96,High-risky
611,4765-OXPPD,0.4,Non-risky
612,2804-ETQDK,0.0,Non-risky
613,6689-VRRTK,0.69,Risky
614,7138-GIRSH,0.0,Non-risky
615,9396-ZSFLL,0.55,Risky
616,6464-KEXXH,0.41,Non-risky
617,7134-MJPDY,0.61,Risky
618,5240-CAOYT,0.07,Non-risky
619,4059-IIEBK,1.0,High-risky
620,4881-JVQOD,0.83,High-risky
621,0516-UXRMT,0.12,Non-risky
622,4851-BQDNX,0.49,Non-risky
623,5148-HKFIR,0.0,Non-risky
624,1009-IRMNA,0.96,High-risky
625,3003-CMDUU,0.85,High-risky
626,5016-IBERQ,0.92,High-risky
627,6797-UCJHZ,0.79,Risky
628,2469-DTSGX,0.16,Non-risky
629,4554-YGZIH,0.58,Risky
630,5099-BAILX,0.58,Risky
631,9931-KGHOA,0.29,Non-risky
632,1775-KWJKQ,0.0,Non-risky
633,7665-VIGUD,0.0,Non-risky
634,9411-TPQQV,0.07,Non-risky
635,7207-RMRDB,0.96,High-risky
636,7954-MLBUN,0.06,Non-risky
637,2077-DDHJK,0.0,Non-risky
638,4913-EHYUI,0.59,Risky
639,0195-IESCP,1.0,High-risky
640,9574-BOSMD,0.0,Non-risky
641,4580-TMHJU,0.62,Risky
642,0970-ETWGE,1.0,High-risky
643,4908-XAXAY,0.13,Non-risky
644,8404-VLQFB,0.07,Non-risky
645,1626-ERCMM,0.89,High-risky
646,0887-HJGAR,0.96,High-risky
647,2391-IPLOP,0.03,Non-risky
648,5644-PDMZC,1.0,High-risky
649,3509-GWQGF,0.75,Risky
650,9576-ANLXO,1.0,High-risky
651,2024-BASKD,1.0,High-risky
652,5845-BZZIB,0.0,Non-risky
653,1140-UKVZG,0.08,Non-risky
654,4160-AMJTL,0.82,High-risky
655,5183-SNMJQ,1.0,High-risky
656,8100-PNJMH,0.0,Non-risky
657,7838-LAZFO,0.16,Non-risky
658,4464-JCOLN,0.02,Non-risky
659,2085-JVGAD,0.0,Non-risky
660,5650-VDUDS,0.78,Risky
661,8095-WANWK,0.57,Risky
662,3030-ZKIWL,0.97,High-risky
663,9565-FLVCG,0.0,Non-risky
664,8755-OGKNA,0.0,Non-risky
665,2800-VEQXM,1.0,High-risky
666,7538-GWHML,0.99,High-risky
667,5533-RJFTJ,0.25,Non-risky
668,3859-CVCET,0.92,High-risky
669,0214-JHPFW,0.0,Non-risky
670,5642-MHDQT,0.0,Non-risky
671,3088-FVYWK,0.0,Non-risky
672,3276-HDUEG,1.0,High-risky
673,9092-GDZKO,0.05,Non-risky
674,0823-HSCDJ,0.61,Risky
675,3729-OWRVL,0.37,Non-risky
676,2324-AALNO,0.0,Non-risky
677,0822-GAVAP,1.0,High-risky
678,5760-IFJOZ,0.95,High-risky
679,2826-UWHIS,0.49,Non-risky
680,1448-PWKYE,1.0,High-risky
